year,estimate,esterror,q2_5,q97_5
1871.5,0.914005895997655,0.0241003944052424,0.867916656553593,0.960982654277454
1872,0.914421079660961,0.0248788058077093,0.865883251542493,0.962785301645351
1872.5,0.914696969334995,0.0244547672030528,0.866172834929405,0.962527920754466
1873,0.914211233414693,0.0243240439148602,0.866601813446934,0.961853513938682
1873.5,0.915055740901706,0.023970356396995,0.868483145687266,0.961841889484353
1874,0.91573198004398,0.023873208634322,0.868041686115526,0.96274504685783
1874.5,0.915935243838453,0.0234167919710751,0.869216182881999,0.961462571446758
1875,0.917158250329974,0.0240687391761948,0.869336023702527,0.964796157718379
1875.5,0.917764772471178,0.0239759744190574,0.870234395513183,0.96386539527345
1876,0.918727263987482,0.0239374474335233,0.873319176290692,0.966477297378956
1876.5,0.919542741635697,0.0236214802687536,0.873188969423843,0.965654766680387
1877,0.920838165454423,0.023843577610055,0.874034476462753,0.967462450055805
1877.5,0.921263567471206,0.0234923007454032,0.87454749657755,0.967673664709
1878,0.922225278875804,0.0238332528662446,0.875724689060501,0.968495710336241
1878.5,0.923946435757344,0.0235276547580757,0.877033883711636,0.969511170712861
1879,0.924835508881648,0.0241965049811871,0.876567825499852,0.971754494601
1879.5,0.926422333832564,0.0229654547670637,0.881093165988737,0.971406733284081
1880,0.927916328557877,0.0233927491202504,0.882422015844207,0.97359054561043
1880.5,0.929066940023974,0.0234906416784893,0.882526937928984,0.975040937967085
1881,0.930255378545341,0.0229282302246297,0.885044283445084,0.974849396024094
1881.5,0.931828893465129,0.023434192695704,0.88568747067772,0.975741550271576
1882,0.932625877038333,0.0238007387422403,0.885486539573945,0.978943033328364
1882.5,0.934095411811248,0.0235353653122867,0.887067829365466,0.979448020847626
1883,0.935432790414197,0.0234988285625155,0.888849200068531,0.981189082997062
1883.5,0.936082399528048,0.0236596001937959,0.889095151145333,0.981927493134294
1884,0.936873570583078,0.0235073029916373,0.889586130725959,0.982199685019055
1884.5,0.937724483659829,0.0234471565304283,0.889801410424003,0.982994494682363
1885,0.938539824726567,0.0232939340035299,0.892955349450473,0.983738004721573
1885.5,0.939451184868166,0.0231469721627808,0.893940658568964,0.984695764803472
1886,0.939792797425143,0.0239034216908169,0.892671958210815,0.986266861354883
1886.5,0.940391538947869,0.0233904651353305,0.895149045555158,0.986326810831393
1887,0.940802991106266,0.0236482707293944,0.893805462943578,0.986762985224124
1887.5,0.941254308665428,0.0233343841580559,0.896329754365516,0.987714218925246
1888,0.941902372507461,0.0236404536175997,0.89632034772818,0.98875830289559
1888.5,0.94207987233822,0.0231521622444154,0.896053960806069,0.987483250846923
1889,0.940986881476015,0.0239385772675231,0.894258131396044,0.987628208744317
1889.5,0.940820781596652,0.0229662265440352,0.896371015850262,0.985740279882884
1890,0.940515978156759,0.0234629240586697,0.89503072449805,0.986398233903068
1890.5,0.940204340472787,0.0231642079076055,0.894823756178266,0.986250279364604
1891,0.9397633874172,0.0236942766602081,0.893459227913232,0.987235036365669
1891.5,0.939998879548184,0.0236843513224191,0.892561559976668,0.985052390314749
1892,0.938804657391763,0.0236641129479669,0.892895817671344,0.985355547929764
